"Region","Subregion","Stock","Name","EnglishName","ScientificName","SpecCode","Group","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","F","F ages","SSB","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"Northeast Atlantic","Azores","alf-comb","Alfonsinos/golden eye perch (Beryx spp.) in the Northeast Atlantic","Alfonsinos/golden","Beryx spp.",,"Benthic fish & inv.","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/alf-comb.pdf",1988,2015,1988,2015,,,,,,,,,,,,,,,"Low","NA","NA","NA","NA",2003,0.01,0.4,0.01,0.4,"NA","NA","None","F","OK (RF 10.07.16)"
"Northeast Atlantic","Azores","sbr-x","Red (=blackspot) seabream (Pagellus bogaraveo) in Subarea 10 (Azores grounds)","Blackspot seabream","Pagellus bogaraveo",890,"Benthic fish & inv.","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/sbr-x.pdf",1988,2015,1988,2015,,,,,,,,,,,,,,,"Low",0.26,0.76,0.01,0.4,1999,0.2,0.6,0.01,0.4,"NA","NA","None","F","OK (RF 10.07.16)"
"Northeast Atlantic","Baltic Sea","bll-2232","Brill in Subdivisions 22–32 (Baltic Sea)","Brill","Scophthalmus rhombus",529,"Benthic fish & inv.","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/bll-2232.pdf",1970,2015,1995,2015,,,,,,,,,,,,0.875,,19542,"Medium","NA","NA",0.2,0.6,2001,0.01,0.3,0.01,0.3,2005,2010,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","cod-2224","Cod in Sub-division 22 to 24","Atlantic cod","Gadus morhua",69,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-2224.pdf",1970,2015,1970,2015,1.01,0.74,27400,38400,,0.26,,38400,,,,0.875,"3 to 5",19542,"Medium",0.23,0.96,0.4,0.8,2009,0.01,0.25,0.01,0.3,2009,2014,"CPUE","F","OK (RF 16.06.16) r updated"
"Northeast Atlantic","Baltic Sea","cod-2532","Cod in Subdivisions 25–32","Atlantic cod","Gadus morhua",69,"Large predators","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-2532.pdf",1965,2015,1990,2015,,,,,,,,,,,,,,,"Medium",0.23,0.96,0.01,0.4,2003,0.01,0.2,0.01,0.2,"NA","NA","CPUE","F","OK (RF 16.06.16) r updated"
"Northeast Atlantic","Baltic Sea","dab-2232","Dab in Subdivisions 22–32 (Baltic Sea)","Common dab","Limanda limanda",695,"Benthic fish & inv.","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/dab-2232.pdf",1970,2015,1970,2015,,,,,,,,,,,,,,,"Medium",0.24,0.98,"NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 16.06.16) r updated"
"Northeast Atlantic","Baltic Sea","fle-2223","Flounder in Subdivisions 22–23 (Belts and sound)","European flounder","Platichthys flesus",1341,"Benthic fish & inv.","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2223.pdf",1973,2015,1998,2015,,,,,,,,,,,,,,87.17,"Medium",0.22,0.97,"NA","NA",2005,0.01,0.4,0.5,0.9,2002,2006,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","fle-2425","Flounder in Subdivisions 24–25 (Southern Baltic Sea)","European flounder","Platichthys flesus",1341,"Benthic fish & inv.","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2425.pdf",1973,2015,1990,2015,,,,,,,,,,,,,,171,"Medium",0.22,0.97,0.01,0.4,2007,0.01,0.4,0.5,0.9,"NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","fle-2628","Flounder in Subdivisions 26 and 28 (Eastern Gotland and Gulf of Gdansk)","European flounder","Platichthys flesus",1341,"Benthic fish & inv.","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2628.pdf",1996,2015,1996,2015,,,,,,,,,,,,,,83.9,"Medium",0.22,0.97,"NA","NA","NA","NA","NA",0.01,0.3,"NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","fle-2732","Flounder in Subdivisions 27 and 29–32 (Northern Central and Northern Baltic Sea)","Flounder","Platichthys flesus",1341,"Benthic fish & inv.","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2732.pdf",1980,2015,1980,2015,,,,,,,,,,,,,,4.37,"Medium",0.22,0.97,0.2,0.6,2000,0.01,0.4,0.01,0.3,2000,2010,"CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","her-2532-gor","Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32","Atlantic herring","Clupea harengus",24,"Plankton feeders","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-2532-gor.pdf",1974,2015,1974,2015,0.52,0.41,430000,600000,,0.22,,600000,,,,0.183,"3 to 6",1013132,"Medium",0.156,0.996,0.5,0.9,"NA","NA","NA","NA","NA","NA","NA","CPUE","F","OK (RF 16.06.16)"
"Northeast Atlantic","Baltic Sea","her-30","Herring in Subdivision 30 (Bothnian Sea)","Atlantic herring","Clupea harengus",24,"Plankton feeders","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-30.pdf",1973,2015,1990,2015,,,,,,0.15,,316000,,,,0.146,"3 to 7",773747,"Medium",0.156,0.996,0.5,0.9,2000,0.2,0.6,0.5,0.9,2000,2005,"CPUE","F","OK (RF 16.06.16)"
